"","Site","Habitat.Type.2014","Mode_Habitat_Type","Core.Increment.cm","Percent.Moisture","Bulk.Density.g.cm.3","LOI.percent","TC.percent","TC.g.cm.3","min.depth.cm","max.depth.cm","TC.g.m.2.per.cm"
"21","309","Brackish","Brackish","78-80",75.32475938,0.203881302,36.25961928,16.0496757,0.032722288,"78","80",327.22288
"22","309","Brackish","Brackish","98-100",58.89320856,0.287023844,13.03716165,6.14994201,0.0176518,"98","100",176.518
"23","399","Brackish","Brackish","0-2",46.84410646,0.067639578,49.14561664,21.54297637,0.014571578,"0","2",145.71578
"24","399","Brackish","Brackish","2-4",40.44112449,0.064362259,46.49910233,20.41476732,0.013139405,"2","4",131.39405
"25","399","Brackish","Brackish","4-6",48.3386479,0.069722597,53.67663593,23.4745499,0.016367066,"4","6",163.67066
"26","399","Brackish","Brackish","8-10",64.80675049,0.088513067,42.74298761,18.81353562,0.016652437,"8","10",166.52437
"27","399","Brackish","Brackish","12-14",61.88950446,0.076025133,45.81562904,20.12340266,0.015298844,"12","14",152.98844
"28","399","Brackish","Brackish","16-18",68.58573397,0.110881339,31.10766663,13.85339828,0.015360834,"16","18",153.60834
"29","399","Brackish","Brackish","22-24",75.41338813,0.123094253,34.27281298,15.20270017,0.01871365,"22","24",187.1365
"30","399","Brackish","Brackish","38-40",75.16269486,0.149182931,32.91321992,14.62310565,0.021815178,"38","40",218.15178
"31","399","Brackish","Brackish","58-60",75.6248301,0.155269016,36.30568712,16.06931442,0.024950666,"58","60",249.50666
"32","399","Brackish","Brackish","78-80",83.1216556,0.113333598,71.21791806,30.95239847,0.035079467,"78","80",350.79467
"33","399","Brackish","Brackish","98-100",77.88394225,0.119063176,56.10552636,24.50998589,0.029182368,"98","100",291.82368
"34","2825","Brackish","Fresh","0-2",63.18094805,0.086692334,49.36843505,21.63796386,0.018758456,"0","2",187.58456
"35","2825","Brackish","Fresh","2-4",68.28612927,0.088963793,42.86238532,18.86443486,0.016782517,"2","4",167.82517
"36","2825","Brackish","Fresh","4-6",73.50979405,0.099111513,44.20843014,19.43825377,0.019265547,"4","6",192.65547
"37","2825","Brackish","Fresh","8-10",76.18643595,0.097917214,49.36448838,21.6362814,0.021185644,"8","10",211.85644
"38","2825","Brackish","Fresh","12-14",77.07822935,0.086962261,56.70086305,24.76377792,0.021535141,"12","14",215.35141
